ciclo,periodo_us,jitter_abs_us
846,220.000,4780.000
847,91.000,4909.000
848,76.000,4924.000
849,12732.000,7732.000
850,179.000,4821.000
851,14519.000,9519.000
852,11526.000,6526.000
853,94.000,4906.000
854,7703.000,2703.000
855,166.000,4834.000
856,81.000,4919.000
857,245.000,4755.000
858,31266.000,26266.000
859,146.000,4854.000
860,88.000,4912.000
861,81.000,4919.000
862,79.000,4921.000
863,80.000,4920.000
864,80.000,4920.000
865,13667.000,8667.000
866,249.000,4751.000
867,13769.000,8769.000
868,170.000,4830.000
869,81.000,4919.000
870,31230.000,26230.000
871,139.000,4861.000
872,132.000,4868.000
873,102.000,4898.000
874,72.000,4928.000
875,68.000,4932.000
876,65.000,4935.000
877,13669.000,8669.000
878,142.000,4858.000
879,19940.000,14940.000
880,600.000,4400.000
881,107.000,4893.000
882,88.000,4912.000
883,11532.000,6532.000
884,237.000,4763.000
885,94.000,4906.000
886,15030.000,10030.000
887,152.000,4848.000
888,105.000,4895.000
889,31084.000,26084.000
890,189.000,4811.000
891,119.000,4881.000
892,76.000,4924.000
893,62.000,4938.000
894,60.000,4940.000
895,13857.000,8857.000
896,136.000,4864.000
897,85.000,4915.000
898,17939.000,12939.000
899,160.000,4840.000
900,87.000,4913.000
901,81.000,4919.000
902,12024.000,7024.000
903,145.000,4855.000
904,16972.000,11972.000
905,178.000,4822.000
906,383.000,4617.000
907,179.000,4821.000
908,13858.000,8858.000
909,131.000,4869.000
910,88.000,4912.000
911,31373.000,26373.000
912,515.000,4485.000
913,477.000,4523.000
914,116.000,4884.000
915,98.000,4902.000
916,83.000,4917.000
917,14304.000,9304.000
918,322.000,4678.000
919,90.000,4910.000
920,14260.000,9260.000
921,285.000,4715.000
922,89.000,4911.000
923,30080.000,25080.000
924,162.000,4838.000
925,523.000,4477.000
926,120.000,4880.000
927,164.000,4836.000
928,107.000,4893.000
929,16154.000,11154.000
930,135.000,4865.000
931,74.000,4926.000
932,14847.000,9847.000
933,138.000,4862.000
934,90.000,4910.000
935,17648.000,12648.000
936,170.000,4830.000
937,93.000,4907.000
938,158.000,4842.000
939,13944.000,8944.000
940,131.000,4869.000
941,77.000,4923.000
942,14033.000,9033.000
943,172.000,4828.000
944,88.000,4912.000
945,17090.000,12090.000
946,174.000,4826.000
947,124.000,4876.000
948,14156.000,9156.000
949,155.000,4845.000
950,78.000,4922.000
951,18091.000,13091.000
952,163.000,4837.000
953,98.000,4902.000
954,90.000,4910.000
955,11154.000,6154.000
956,153.000,4847.000
957,29997.000,24997.000
958,235.000,4765.000
959,203.000,4797.000
960,91.000,4909.000
961,82.000,4918.000
962,73.000,4927.000
963,14514.000,9514.000
964,171.000,4829.000
965,90.000,4910.000
966,30946.000,25946.000
967,180.000,4820.000
968,144.000,4856.000
969,100.000,4900.000
970,90.000,4910.000
971,84.000,4916.000
972,30263.000,25263.000
973,184.000,4816.000
974,116.000,4884.000
975,90.000,4910.000
976,85.000,4915.000
977,82.000,4918.000
978,83.000,4917.000
979,15079.000,10079.000
980,185.000,4815.000
981,87.000,4913.000
982,30397.000,25397.000
983,190.000,4810.000
984,104.000,4896.000
985,103.000,4897.000
986,85.000,4915.000
987,82.000,4918.000
988,30320.000,25320.000
989,146.000,4854.000
990,130.000,4870.000
991,109.000,4891.000
992,133.000,4867.000
993,83.000,4917.000
994,15785.000,10785.000
995,151.000,4849.000
996,92.000,4908.000
997,14556.000,9556.000
998,272.000,4728.000
999,112.000,4888.000
1000,30993.000,25993.000
1001,949.000,4051.000
1002,368.000,4632.000
1003,179.000,4821.000
1004,132.000,4868.000
1005,83.000,4917.000
1006,80.000,4920.000
1007,29569.000,24569.000
1008,165.000,4835.000
1009,96.000,4904.000
1010,88.000,4912.000
1011,87.000,4913.000
1012,75.000,4925.000
1013,15024.000,10024.000
1014,163.000,4837.000
1015,94.000,4906.000
1016,15855.000,10855.000
1017,171.000,4829.000
1018,88.000,4912.000
1019,2026.000,2974.000
1020,27198.000,22198.000
1021,171.000,4829.000
1022,87.000,4913.000
1023,91.000,4909.000
1024,78.000,4922.000
1025,30802.000,25802.000
1026,159.000,4841.000
1027,100.000,4900.000
1028,70.000,4930.000
1029,683.000,4317.000
1030,82.000,4918.000
1031,14790.000,9790.000
1032,172.000,4828.000
1033,96.000,4904.000
1034,15154.000,10154.000
1035,249.000,4751.000
1036,89.000,4911.000
1037,87.000,4913.000
1038,17593.000,12593.000
1039,880.000,4120.000
1040,112.000,4888.000
1041,13099.000,8099.000
1042,229.000,4771.000
1043,158.000,4842.000
1044,14818.000,9818.000
1045,142.000,4858.000
1046,96.000,4904.000
1047,17982.000,12982.000
1048,157.000,4843.000
1049,96.000,4904.000
1050,13208.000,8208.000
1051,173.000,4827.000
1052,18376.000,13376.000
1053,22742.000,17742.000
1054,106.000,4894.000
1055,88.000,4912.000
1056,93.000,4907.000
1057,81.000,4919.000
1058,77.000,4923.000
1059,78.000,4922.000
1060,4063.000,937.000
1061,146.000,4854.000
1062,112.000,4888.000
1063,15350.000,10350.000
1064,131.000,4869.000
1065,73.000,4927.000
1066,15493.000,10493.000
1067,317.000,4683.000
1068,102.000,4898.000
1069,28220.000,23220.000
1070,141.000,4859.000
1071,90.000,4910.000
1072,83.000,4917.000
1073,87.000,4913.000
1074,95.000,4905.000
1075,32563.000,27563.000
1076,137.000,4863.000
1077,80.000,4920.000
1078,69.000,4931.000
1079,68.000,4932.000
1080,375.000,4625.000
1081,16384.000,11384.000
1082,401.000,4599.000
1083,81.000,4919.000
1084,9043.000,4043.000
1085,16910.000,11910.000
1086,149.000,4851.000
1087,76.000,4924.000
1088,71.000,4929.000
1089,72.000,4928.000
1090,15396.000,10396.000
1091,189.000,4811.000
1092,91.000,4909.000
1093,14828.000,9828.000
1094,171.000,4829.000
1095,139.000,4861.000
1096,15352.000,10352.000
1097,173.000,4827.000
1098,91.000,4909.000
1099,14938.000,9938.000
1100,131.000,4869.000
1101,73.000,4927.000
1102,17266.000,12266.000
1103,149.000,4851.000
1104,99.000,4901.000
1105,28157.000,23157.000
1106,138.000,4862.000
1107,94.000,4906.000
1108,91.000,4909.000
1109,123.000,4877.000
1110,89.000,4911.000
1111,14934.000,9934.000
1112,137.000,4863.000
1113,78.000,4922.000
1114,20635.000,15635.000
1115,162.000,4838.000
1116,120.000,4880.000
1117,109.000,4891.000
1118,24417.000,19417.000
1119,197.000,4803.000
1120,97.000,4903.000
1121,94.000,4906.000
1122,78.000,4922.000
1123,86.000,4914.000
1124,16682.000,11682.000
1125,138.000,4862.000
1126,77.000,4923.000
1127,13823.000,8823.000
1128,157.000,4843.000
1129,131.000,4869.000
1130,14687.000,9687.000
1131,195.000,4805.000
1132,98.000,4902.000
1133,14571.000,9571.000
1134,147.000,4853.000
1135,1100.000,3900.000
1136,29966.000,24966.000
1137,169.000,4831.000
1138,587.000,4413.000
1139,258.000,4742.000
1140,91.000,4909.000
1141,74.000,4926.000
1142,14302.000,9302.000
1143,698.000,4302.000
1144,262.000,4738.000
1145,15490.000,10490.000
1146,164.000,4836.000
1147,82.000,4918.000
1148,13910.000,8910.000
1149,468.000,4532.000
1150,85.000,4915.000
1151,15026.000,10026.000
1152,1551.000,3449.000
1153,90.000,4910.000
1154,13904.000,8904.000
1155,177.000,4823.000
1156,122.000,4878.000
1157,93.000,4907.000
1158,29502.000,24502.000
1159,182.000,4818.000
1160,142.000,4858.000
1161,84.000,4916.000
1162,80.000,4920.000
1163,14194.000,9194.000
1164,349.000,4651.000
1165,93.000,4907.000
1166,16194.000,11194.000
1167,291.000,4709.000
1168,163.000,4837.000
1169,186.000,4814.000
1170,30702.000,25702.000
1171,211.000,4789.000
1172,138.000,4862.000
1173,84.000,4916.000
1174,80.000,4920.000
1175,74.000,4926.000
1176,27015.000,22015.000
1177,210.000,4790.000
1178,87.000,4913.000
1179,79.000,4921.000
1180,84.000,4916.000
1181,77.000,4923.000
1182,31124.000,26124.000
1183,217.000,4783.000
1184,197.000,4803.000
1185,85.000,4915.000
1186,77.000,4923.000
1187,76.000,4924.000
1188,14080.000,9080.000
1189,166.000,4834.000
1190,88.000,4912.000
1191,16732.000,11732.000
1192,296.000,4704.000
1193,241.000,4759.000
1194,14542.000,9542.000
