trajetoria,waypoint,junta,no,n_runs,min_deg,max_deg,spread_deg
linear_x,6,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,0,J1,QEMU_ESP32,3,0.0,0.0,0.0
circular_multijoint,0,J2,QEMU_ESP32,3,0.0,0.0,0.0
circular_multijoint,0,J3,QEMU_ESP32,3,0.0,0.0,0.0
circular_multijoint,0,J4,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,0,J5,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,0,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,1,J1,QEMU_ESP32,3,24.75001,24.887119,0.137109
circular_multijoint,1,J2,QEMU_ESP32,3,0.0,0.0,0.0
circular_multijoint,1,J3,QEMU_ESP32,3,6.749999,6.774608,0.024609
circular_multijoint,1,J4,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,1,J5,simavr_UNO,3,9.931641,9.931641,0.0
circular_multijoint,1,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,2,J1,QEMU_ESP32,3,17.293358,17.549997,0.256639
circular_multijoint,2,J2,QEMU_ESP32,3,10.349998,10.349998,0.0
circular_multijoint,2,J3,QEMU_ESP32,3,0.0,0.464062,0.464062
circular_multijoint,2,J4,simavr_UNO,3,13.974609,13.974609,0.0
circular_multijoint,2,J5,simavr_UNO,3,6.767578,6.767578,0.0
circular_multijoint,2,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,3,J1,QEMU_ESP32,3,0.0,0.116016,0.116016
circular_multijoint,3,J2,QEMU_ESP32,3,14.849996,14.849996,0.0
circular_multijoint,3,J3,QEMU_ESP32,3,-7.020702,-6.749999,0.270703
circular_multijoint,3,J4,simavr_UNO,3,19.775391,19.775391,0.0
circular_multijoint,3,J5,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,3,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,7,J1,QEMU_ESP32,3,0.0,0.281251,0.281251
circular_multijoint,7,J2,QEMU_ESP32,3,-14.849996,-14.849996,0.0
circular_multijoint,7,J3,QEMU_ESP32,3,6.749999,6.851952,0.101953
circular_multijoint,7,J4,simavr_UNO,3,-19.775391,-19.775391,0.0
circular_multijoint,7,J5,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,7,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,8,J1,QEMU_ESP32,3,17.549997,17.820702,0.270705
circular_multijoint,8,J2,QEMU_ESP32,3,-10.349998,-10.349998,0.0
circular_multijoint,8,J3,QEMU_ESP32,3,9.82617,9.899998,0.073828
circular_multijoint,8,J4,simavr_UNO,3,-13.974609,-13.974609,0.0
circular_multijoint,8,J5,simavr_UNO,3,6.767578,6.767578,0.0
circular_multijoint,8,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,9,J1,QEMU_ESP32,3,24.549618,24.75001,0.200392
circular_multijoint,9,J2,QEMU_ESP32,3,0.0,0.0,0.0
circular_multijoint,9,J3,QEMU_ESP32,3,6.749999,6.774608,0.024609
circular_multijoint,9,J4,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,9,J5,simavr_UNO,3,9.931641,9.931641,0.0
circular_multijoint,9,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,10,J1,QEMU_ESP32,3,17.549997,18.042183,0.492186
circular_multijoint,10,J2,QEMU_ESP32,3,10.349998,10.349998,0.0
circular_multijoint,10,J3,QEMU_ESP32,3,0.0,0.464062,0.464062
circular_multijoint,10,J4,simavr_UNO,3,13.974609,13.974609,0.0
circular_multijoint,10,J5,simavr_UNO,3,6.767578,6.767578,0.0
circular_multijoint,10,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,11,J1,QEMU_ESP32,3,0.0,0.295308,0.295308
circular_multijoint,11,J2,QEMU_ESP32,3,14.849996,14.849996,0.0
circular_multijoint,11,J3,QEMU_ESP32,3,-7.020702,-6.749999,0.270703
circular_multijoint,11,J4,simavr_UNO,3,19.775391,19.775391,0.0
circular_multijoint,11,J5,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,11,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,12,J1,QEMU_ESP32,3,-17.560551,-17.384771,0.17578
circular_multijoint,12,J2,QEMU_ESP32,3,10.349998,10.349998,0.0
circular_multijoint,12,J3,QEMU_ESP32,3,-9.899998,-9.622264,0.277734
circular_multijoint,12,J4,simavr_UNO,3,13.974609,13.974609,0.0
circular_multijoint,12,J5,simavr_UNO,3,-6.767578,-6.767578,0.0
circular_multijoint,12,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,13,J1,QEMU_ESP32,3,-24.943384,-24.67971,0.263674
circular_multijoint,13,J2,QEMU_ESP32,3,0.0,0.0,0.0
circular_multijoint,13,J3,QEMU_ESP32,3,-6.749999,-6.637499,0.1125
circular_multijoint,13,J4,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,13,J5,simavr_UNO,3,-9.931641,-9.931641,0.0
circular_multijoint,13,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,15,J1,QEMU_ESP32,3,0.0,0.340989,0.340989
circular_multijoint,15,J2,QEMU_ESP32,3,-14.849996,-14.849996,0.0
circular_multijoint,15,J3,QEMU_ESP32,3,6.749999,6.851952,0.101953
circular_multijoint,15,J4,simavr_UNO,3,-19.775391,-19.775391,0.0
circular_multijoint,15,J5,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,15,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,16,J1,QEMU_ESP32,3,17.549997,18.045673,0.495676
circular_multijoint,16,J2,QEMU_ESP32,3,-10.349998,-10.349998,0.0
circular_multijoint,16,J3,QEMU_ESP32,3,9.82617,9.899998,0.073828
circular_multijoint,16,J4,simavr_UNO,3,-13.974609,-13.974609,0.0
circular_multijoint,16,J5,simavr_UNO,3,6.767578,6.767578,0.0
circular_multijoint,16,J6,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,17,J1,QEMU_ESP32,3,0.0,0.355046,0.355046
circular_multijoint,17,J2,QEMU_ESP32,3,0.0,0.0,0.0
circular_multijoint,17,J3,QEMU_ESP32,3,0.0,0.1125,0.1125
circular_multijoint,17,J4,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,17,J5,simavr_UNO,3,0.0,0.0,0.0
circular_multijoint,17,J6,simavr_UNO,3,0.0,0.0,0.0
pick_and_place,0,J1,QEMU_ESP32,3,0.0,0.0,0.0
pick_and_place,0,J2,QEMU_ESP32,3,0.0,0.0,0.0
pick_and_place,0,J3,QEMU_ESP32,3,0.0,0.0,0.0
pick_and_place,0,J4,simavr_UNO,3,0.0,0.0,0.0
pick_and_place,0,J5,simavr_UNO,3,0.0,0.0,0.0
pick_and_place,0,J6,simavr_UNO,3,0.0,0.0,0.0
