trajetoria,run,waypoint,junta,no,comandado_deg,atingido_deg,erro_abs_deg
circular_multijoint,1,1,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,2,J1,QEMU_ESP32,17.67767,17.549997,0.127673
circular_multijoint,1,2,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,1,2,J3,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,2,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,1,2,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,1,2,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,3,J1,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,3,J2,QEMU_ESP32,15.0,14.849996,0.150004
circular_multijoint,1,3,J3,QEMU_ESP32,-7.071068,-6.749999,0.321069
circular_multijoint,1,3,J4,simavr_UNO,20.0,19.775391,0.224609
circular_multijoint,1,3,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,3,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,4,J1,QEMU_ESP32,-17.67767,-17.549997,0.127673
circular_multijoint,1,4,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,1,4,J3,QEMU_ESP32,-10.0,-9.899998,0.100002
circular_multijoint,1,4,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,1,4,J5,simavr_UNO,-7.071068,-6.767578,0.30349
circular_multijoint,1,4,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,5,J1,QEMU_ESP32,-25.0,-24.75001,0.24999
circular_multijoint,1,5,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,5,J3,QEMU_ESP32,-7.071068,-6.749999,0.321069
circular_multijoint,1,5,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,5,J5,simavr_UNO,-10.0,-9.931641,0.068359
circular_multijoint,1,5,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,6,J1,QEMU_ESP32,-17.67767,-17.549997,0.127673
circular_multijoint,1,6,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,1,6,J3,QEMU_ESP32,-0.0,0.0,0.0
circular_multijoint,1,6,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,1,6,J5,simavr_UNO,-7.071068,-6.767578,0.30349
circular_multijoint,1,6,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,7,J1,QEMU_ESP32,-0.0,0.0,0.0
circular_multijoint,1,7,J2,QEMU_ESP32,-15.0,-14.849996,0.150004
circular_multijoint,1,7,J3,QEMU_ESP32,7.071068,6.749999,0.321069
circular_multijoint,1,7,J4,simavr_UNO,-20.0,-19.775391,0.224609
circular_multijoint,1,7,J5,simavr_UNO,-0.0,0.0,0.0
circular_multijoint,1,7,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,8,J1,QEMU_ESP32,17.67767,17.549997,0.127673
circular_multijoint,1,8,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,1,8,J3,QEMU_ESP32,10.0,9.899998,0.100002
circular_multijoint,1,8,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,1,8,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,1,8,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,9,J1,QEMU_ESP32,25.0,24.75001,0.24999
circular_multijoint,1,9,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,9,J3,QEMU_ESP32,7.071068,6.749999,0.321069
circular_multijoint,1,9,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,9,J5,simavr_UNO,10.0,9.931641,0.068359
circular_multijoint,1,9,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,10,J1,QEMU_ESP32,17.67767,17.549997,0.127673
circular_multijoint,1,10,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,1,10,J3,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,10,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,1,10,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,1,10,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,11,J1,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,11,J2,QEMU_ESP32,15.0,14.849996,0.150004
circular_multijoint,1,11,J3,QEMU_ESP32,-7.071068,-6.749999,0.321069
circular_multijoint,1,11,J4,simavr_UNO,20.0,19.775391,0.224609
circular_multijoint,1,11,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,11,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,12,J1,QEMU_ESP32,-17.67767,-17.549997,0.127673
circular_multijoint,1,12,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,1,12,J3,QEMU_ESP32,-10.0,-9.899998,0.100002
circular_multijoint,1,12,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,1,12,J5,simavr_UNO,-7.071068,-6.767578,0.30349
circular_multijoint,1,12,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,13,J1,QEMU_ESP32,-25.0,-24.75001,0.24999
circular_multijoint,1,13,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,13,J3,QEMU_ESP32,-7.071068,-6.749999,0.321069
circular_multijoint,1,13,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,13,J5,simavr_UNO,-10.0,-9.931641,0.068359
circular_multijoint,1,13,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,14,J1,QEMU_ESP32,-17.67767,-17.549997,0.127673
circular_multijoint,1,14,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,1,14,J3,QEMU_ESP32,-0.0,0.0,0.0
circular_multijoint,1,14,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,1,14,J5,simavr_UNO,-7.071068,-6.767578,0.30349
circular_multijoint,1,14,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,15,J1,QEMU_ESP32,-0.0,0.0,0.0
circular_multijoint,1,15,J2,QEMU_ESP32,-15.0,-14.849996,0.150004
circular_multijoint,1,15,J3,QEMU_ESP32,7.071068,6.749999,0.321069
circular_multijoint,1,15,J4,simavr_UNO,-20.0,-19.775391,0.224609
circular_multijoint,1,15,J5,simavr_UNO,-0.0,0.0,0.0
circular_multijoint,1,15,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,16,J1,QEMU_ESP32,17.67767,17.549997,0.127673
circular_multijoint,1,16,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,1,16,J3,QEMU_ESP32,10.0,9.899998,0.100002
circular_multijoint,1,16,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,1,16,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,1,16,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,17,J1,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,17,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,17,J3,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,1,17,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,17,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,1,17,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,0,J1,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,2,0,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,2,0,J3,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,2,0,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,0,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,0,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,1,J1,QEMU_ESP32,25.0,24.887119,0.112881
circular_multijoint,2,1,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,2,1,J3,QEMU_ESP32,7.071068,6.774608,0.29646
circular_multijoint,2,1,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,1,J5,simavr_UNO,10.0,9.931641,0.068359
circular_multijoint,2,1,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,2,J1,QEMU_ESP32,17.67767,17.402342,0.275328
circular_multijoint,2,2,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,2,2,J3,QEMU_ESP32,0.0,0.464062,0.464062
circular_multijoint,2,2,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,2,2,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,2,2,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,3,J1,QEMU_ESP32,0.0,0.116016,0.116016
circular_multijoint,2,3,J2,QEMU_ESP32,15.0,14.849996,0.150004
circular_multijoint,2,3,J3,QEMU_ESP32,-7.071068,-7.020702,0.050366
circular_multijoint,2,3,J4,simavr_UNO,20.0,19.775391,0.224609
circular_multijoint,2,3,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,3,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,6,J1,QEMU_ESP32,-17.67767,-17.216009,0.461661
circular_multijoint,2,6,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,2,6,J3,QEMU_ESP32,-0.0,0.20039,0.20039
circular_multijoint,2,6,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,2,6,J5,simavr_UNO,-7.071068,-6.767578,0.30349
circular_multijoint,2,6,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,7,J1,QEMU_ESP32,-0.0,0.281251,0.281251
circular_multijoint,2,7,J2,QEMU_ESP32,-15.0,-14.849996,0.150004
circular_multijoint,2,7,J3,QEMU_ESP32,7.071068,6.851952,0.219116
circular_multijoint,2,7,J4,simavr_UNO,-20.0,-19.775391,0.224609
circular_multijoint,2,7,J5,simavr_UNO,-0.0,0.0,0.0
circular_multijoint,2,7,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,8,J1,QEMU_ESP32,17.67767,17.820702,0.143032
circular_multijoint,2,8,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,2,8,J3,QEMU_ESP32,10.0,9.82617,0.17383
circular_multijoint,2,8,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,2,8,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,2,8,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,9,J1,QEMU_ESP32,25.0,24.549618,0.450382
circular_multijoint,2,9,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,2,9,J3,QEMU_ESP32,7.071068,6.774608,0.29646
circular_multijoint,2,9,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,9,J5,simavr_UNO,10.0,9.931641,0.068359
circular_multijoint,2,9,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,10,J1,QEMU_ESP32,17.67767,18.042183,0.364513
circular_multijoint,2,10,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,2,10,J3,QEMU_ESP32,0.0,0.464062,0.464062
circular_multijoint,2,10,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,2,10,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,2,10,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,11,J1,QEMU_ESP32,0.0,0.295308,0.295308
circular_multijoint,2,11,J2,QEMU_ESP32,15.0,14.849996,0.150004
circular_multijoint,2,11,J3,QEMU_ESP32,-7.071068,-7.020702,0.050366
circular_multijoint,2,11,J4,simavr_UNO,20.0,19.775391,0.224609
circular_multijoint,2,11,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,11,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,12,J1,QEMU_ESP32,-17.67767,-17.384771,0.292899
circular_multijoint,2,12,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,2,12,J3,QEMU_ESP32,-10.0,-9.622264,0.377736
circular_multijoint,2,12,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,2,12,J5,simavr_UNO,-7.071068,-6.767578,0.30349
circular_multijoint,2,12,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,13,J1,QEMU_ESP32,-25.0,-24.67971,0.32029
circular_multijoint,2,13,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,2,13,J3,QEMU_ESP32,-7.071068,-6.637499,0.433569
circular_multijoint,2,13,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,13,J5,simavr_UNO,-10.0,-9.931641,0.068359
circular_multijoint,2,13,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,15,J1,QEMU_ESP32,-0.0,0.340989,0.340989
circular_multijoint,2,15,J2,QEMU_ESP32,-15.0,-14.849996,0.150004
circular_multijoint,2,15,J3,QEMU_ESP32,7.071068,6.851952,0.219116
circular_multijoint,2,15,J4,simavr_UNO,-20.0,-19.775391,0.224609
circular_multijoint,2,15,J5,simavr_UNO,-0.0,0.0,0.0
circular_multijoint,2,15,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,16,J1,QEMU_ESP32,17.67767,18.045673,0.368003
circular_multijoint,2,16,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,2,16,J3,QEMU_ESP32,10.0,9.82617,0.17383
circular_multijoint,2,16,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,2,16,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,2,16,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,17,J1,QEMU_ESP32,0.0,0.355046,0.355046
circular_multijoint,2,17,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,2,17,J3,QEMU_ESP32,0.0,0.1125,0.1125
circular_multijoint,2,17,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,17,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,2,17,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,0,J1,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,3,0,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,3,0,J3,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,3,0,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,0,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,0,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,1,J1,QEMU_ESP32,25.0,24.866026,0.133974
circular_multijoint,3,1,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,3,1,J3,QEMU_ESP32,7.071068,6.774608,0.29646
circular_multijoint,3,1,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,1,J5,simavr_UNO,10.0,9.931641,0.068359
circular_multijoint,3,1,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,2,J1,QEMU_ESP32,17.67767,17.293358,0.384312
circular_multijoint,3,2,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,3,2,J3,QEMU_ESP32,0.0,0.464062,0.464062
circular_multijoint,3,2,J4,simavr_UNO,14.142136,13.974609,0.167527
circular_multijoint,3,2,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,3,2,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,3,J1,QEMU_ESP32,0.0,0.094923,0.094923
circular_multijoint,3,3,J2,QEMU_ESP32,15.0,14.849996,0.150004
circular_multijoint,3,3,J3,QEMU_ESP32,-7.071068,-7.020702,0.050366
circular_multijoint,3,3,J4,simavr_UNO,20.0,19.775391,0.224609
circular_multijoint,3,3,J5,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,3,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,4,J1,QEMU_ESP32,-17.67767,-17.377731,0.299939
circular_multijoint,3,4,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,3,4,J3,QEMU_ESP32,-10.0,-9.808592,0.191408
circular_multijoint,3,4,J4,simavr_UNO,14.142136,14.853516,0.71138
circular_multijoint,3,4,J5,simavr_UNO,-7.071068,-6.767578,0.30349
circular_multijoint,3,4,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,7,J1,QEMU_ESP32,-0.0,0.105471,0.105471
circular_multijoint,3,7,J2,QEMU_ESP32,-15.0,-14.849996,0.150004
circular_multijoint,3,7,J3,QEMU_ESP32,7.071068,6.851952,0.219116
circular_multijoint,3,7,J4,simavr_UNO,-20.0,-19.775391,0.224609
circular_multijoint,3,7,J5,simavr_UNO,-0.0,0.0,0.0
circular_multijoint,3,7,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,8,J1,QEMU_ESP32,17.67767,17.732811,0.055141
circular_multijoint,3,8,J2,QEMU_ESP32,-10.606602,-10.349998,0.256604
circular_multijoint,3,8,J3,QEMU_ESP32,10.0,9.82617,0.17383
circular_multijoint,3,8,J4,simavr_UNO,-14.142136,-13.974609,0.167527
circular_multijoint,3,8,J5,simavr_UNO,7.071068,6.767578,0.30349
circular_multijoint,3,8,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,9,J1,QEMU_ESP32,25.0,24.549618,0.450382
circular_multijoint,3,9,J2,QEMU_ESP32,0.0,0.0,0.0
circular_multijoint,3,9,J3,QEMU_ESP32,7.071068,6.774608,0.29646
circular_multijoint,3,9,J4,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,9,J5,simavr_UNO,10.0,9.931641,0.068359
circular_multijoint,3,9,J6,simavr_UNO,0.0,0.0,0.0
circular_multijoint,3,10,J1,QEMU_ESP32,17.67767,17.954292,0.276622
circular_multijoint,3,10,J2,QEMU_ESP32,10.606602,10.349998,0.256604
circular_multijoint,3,10,J3,QEMU_ESP32,0.0,0.464062,0.464062
circular_multijoint,3,10,J4,simavr_UNO,14.142136,13.974609,0.167527
