t,steps_j4,steps_j5,steps_j6,deg_j6_cmd,enc_j6_raw,enc_valid
4.3068,0,0,0,0.000,0,0
4.3279,0,0,0,0.000,0,0
4.3487,0,0,0,0.000,0,0
4.3692,0,0,0,0.000,0,0
4.3901,0,0,0,0.000,0,0
4.4117,0,0,0,0.000,0,0
4.4327,0,0,0,0.000,0,0
4.4529,0,0,0,0.000,0,0
4.4736,0,0,0,0.000,0,0
4.4939,0,0,0,0.000,0,0
4.5144,0,0,0,0.000,0,0
4.5346,0,0,0,0.000,0,0
4.5555,0,0,0,0.000,0,0
4.5759,0,0,0,0.000,0,0
4.5964,0,0,0,0.000,0,0
4.6168,0,0,0,0.000,0,0
4.6372,0,0,0,0.000,0,0
4.6576,0,0,0,0.000,0,0
4.6779,0,0,0,0.000,0,0
4.6983,0,0,0,0.000,0,0
4.7193,0,0,0,0.000,0,0
4.7404,0,0,0,0.000,0,0
4.7607,0,0,0,0.000,0,0
4.7817,0,0,0,0.000,0,0
4.8024,0,0,0,0.000,0,0
4.8229,0,0,0,0.000,0,0
4.8430,0,0,0,0.000,0,0
4.8637,0,0,0,0.000,0,0
4.8842,0,0,0,0.000,0,0
4.9043,0,0,0,0.000,0,0
4.9246,0,0,0,0.000,0,0
4.9452,0,0,0,0.000,0,0
4.9658,0,0,0,0.000,0,0
4.9859,0,0,0,0.000,0,0
5.0066,0,0,0,0.000,0,0
5.0271,0,0,0,0.000,0,0
5.0477,0,0,0,0.000,0,0
5.0682,0,0,0,0.000,0,0
5.0885,0,0,0,0.000,0,0
5.1090,0,0,0,0.000,0,0
5.1292,0,0,0,0.000,0,0
5.1493,0,0,0,0.000,0,0
5.1694,0,0,0,0.000,0,0
5.1902,0,0,0,0.000,0,0
5.2107,0,0,0,0.000,0,0
5.2313,0,0,0,0.000,0,0
5.2515,0,0,0,0.000,0,0
5.2717,0,0,0,0.000,0,0
5.2922,0,0,0,0.000,0,0
5.3128,0,0,0,0.000,0,0
5.3333,0,0,0,0.000,0,0
5.3541,0,0,0,0.000,0,0
5.3746,0,0,0,0.000,0,0
5.3952,0,0,0,0.000,0,0
5.4155,0,0,0,0.000,0,0
5.4360,0,0,0,0.000,0,0
5.4567,0,0,0,0.000,0,0
5.4770,0,0,0,0.000,0,0
5.4975,0,0,0,0.000,0,0
5.5181,0,0,0,0.000,0,0
5.5386,0,0,0,0.000,0,0
5.5591,0,0,0,0.000,0,0
5.5794,0,0,0,0.000,0,0
5.5998,0,0,0,0.000,0,0
5.6203,0,0,0,0.000,0,0
5.6405,0,0,0,0.000,0,0
5.6607,0,0,0,0.000,0,0
5.6811,0,0,0,0.000,0,0
5.7017,0,0,0,0.000,0,0
5.7220,0,0,0,0.000,0,0
5.7423,0,0,0,0.000,0,0
5.7625,0,0,0,0.000,0,0
5.7828,0,0,0,0.000,0,0
5.8032,0,0,0,0.000,0,0
5.8234,0,0,0,0.000,0,0
5.8437,0,0,0,0.000,0,0
5.8640,0,0,0,0.000,0,0
5.8878,0,0,0,0.000,0,0
5.9104,0,0,0,0.000,0,0
5.9319,0,0,0,0.000,0,0
5.9567,0,0,0,0.000,0,0
5.9795,0,0,0,0.000,0,0
6.0034,0,0,0,0.000,0,0
6.0295,0,0,0,0.000,0,0
6.0536,0,0,0,0.000,0,0
6.0751,0,0,0,0.000,0,0
6.0958,0,0,0,0.000,0,0
6.1160,0,0,0,0.000,0,0
6.1382,0,0,0,0.000,0,0
6.1613,0,0,0,0.000,0,0
6.1836,0,0,0,0.000,0,0
6.2130,0,0,0,0.000,0,0
6.3652,0,0,0,0.000,0,0
6.3948,0,0,0,0.000,0,0
6.4234,0,0,0,0.000,0,0
6.4468,0,0,0,0.000,0,1
6.4786,0,0,0,0.000,0,1
6.5149,0,0,0,0.000,0,1
6.5369,0,0,0,0.000,0,1
6.5659,0,0,0,0.000,0,1
6.5997,0,0,0,0.000,0,1
6.6232,0,0,0,0.000,0,1
6.6474,0,0,0,0.000,0,1
6.6785,0,0,0,0.000,0,1
6.7132,0,0,0,0.000,0,1
